sample_id,quadrant,original_filename,youtube_id
P0_01,Q1,Q1_aYe-2Glruu4_3.mid,aYe-2Glruu4
P0_02,Q1,Q1_4dXC1cC7crw_0.mid,4dXC1cC7crw
P0_03,Q1,Q1_1vjy9oMFa8c_2.mid,1vjy9oMFa8c
P0_04,Q1,Q1_eVMSeElk81Q_2.mid,eVMSeElk81Q
P0_05,Q1,Q1_DX1IK3z1w10_1.mid,DX1IK3z1w10
P0_06,Q1,Q1_ANZf1QXsNrY_2.mid,ANZf1QXsNrY
P0_07,Q1,Q1_9v2WSpn4FCw_2.mid,9v2WSpn4FCw
P0_08,Q1,Q1_6Uf9XBUD3wE_0.mid,6Uf9XBUD3wE
P0_09,Q1,Q1_eVMSeElk81Q_1.mid,eVMSeElk81Q
P0_10,Q1,Q1_3ahg_eQZhxs_0.mid,3ahg
P0_11,Q2,Q2_6n8HgIcJ6vo_0.mid,6n8HgIcJ6vo
P0_12,Q2,Q2_l-4Kce3YxxQ_1.mid,l-4Kce3YxxQ
P0_13,Q2,Q2_16OaOpfOPZ0_2.mid,16OaOpfOPZ0
P0_14,Q2,Q2_0v2N1ROvEI0_1.mid,0v2N1ROvEI0
P0_15,Q2,Q2_7n32BtYb4d4_0.mid,7n32BtYb4d4
P0_16,Q2,Q2_OCqMDeD6Fmc_0.mid,OCqMDeD6Fmc
P0_17,Q2,Q2_P-We4q3goKU_5.mid,P-We4q3goKU
P0_18,Q2,Q2_yrvKReuwVlY_0.mid,yrvKReuwVlY
P0_19,Q2,Q2_0qYNvMCEwaw_0.mid,0qYNvMCEwaw
P0_20,Q2,Q2_ItGNJM6skM4_1.mid,ItGNJM6skM4
P0_21,Q3,Q3_nBIls0laAAU_2.mid,nBIls0laAAU
P0_22,Q3,Q3_ijfxkQPAQdE_0.mid,ijfxkQPAQdE
P0_23,Q3,Q3_ldCQ6N9G6Mk_4.mid,ldCQ6N9G6Mk
P0_24,Q3,Q3__vZOEQCYSaY_2.mid,
P0_25,Q3,Q3_QJlnTN7HRwE_0.mid,QJlnTN7HRwE
P0_26,Q3,Q3_G4rL_OtfFAU_0.mid,G4rL
P0_27,Q3,Q3_REq37pDAm3A_4.mid,REq37pDAm3A
P0_28,Q3,Q3_egYSmNuIFGk_1.mid,egYSmNuIFGk
P0_29,Q3,Q3_Ie5koh4qvJc_19.mid,Ie5koh4qvJc
P0_30,Q3,Q3_uj3Gif77SYM_8.mid,uj3Gif77SYM
P0_31,Q4,Q4_-_FjI4bT2Wo_2.mid,-
P0_32,Q4,Q4_Gcbk0GPT3-g_1.mid,Gcbk0GPT3-g
P0_33,Q4,Q4_iGHgeUCPotc_0.mid,iGHgeUCPotc
P0_34,Q4,Q4_Xf2fox7zhCQ_1.mid,Xf2fox7zhCQ
P0_35,Q4,Q4_Tc684nD8CEA_2.mid,Tc684nD8CEA
P0_36,Q4,Q4_GbUV3TXUzeQ_0.mid,GbUV3TXUzeQ
P0_37,Q4,Q4_JxSU49jFKwM_0.mid,JxSU49jFKwM
P0_38,Q4,Q4_XWk5XUEBXmg_1.mid,XWk5XUEBXmg
P0_39,Q4,Q4_B3aRl8iTEKw_1.mid,B3aRl8iTEKw
P0_40,Q4,Q4_ADJ_PDauy-g_0.mid,ADJ
